taken_from,word_count_mean,word_count_max,word_count_min,rt_count_max,rt_count_mean,like_count_mean,like_count_max,hourly_tweet_mean,replyCount_mean,replyCount_max,unique_reply_count,hashtagCount_max,hashtagCount_mean,links_count_mean,photos_count_all_mean,photos_count_original_mean,videos_count_all_mean,videos_count_original_mean,mentionCount_mean,mentionCount_max
49922295,31.0,31,31,28.0,28.0,199.0,199.0,0.004312249655298099,1.0,1.0,1,8,0.5714285714285714,0.047619047619047616,0.6904761904761905,0.0,0.21428571428571427,1.0,4.0,4
49947714,25.833333333333332,55,2,5.0,0.25,1.0,6.0,0.03574581744975106,0.4166666666666667,5.0,3,10,0.6388888888888888,0.0,0.2777777777777778,0.25,0.027777777777777776,0.0,0.5416666666666666,2
49950808,35.55,52,6,51.0,7.1,70.3,374.0,0.05784159055192813,9.3,63.0,12,4,2.1904761904761907,0.047619047619047616,0.5238095238095238,0.55,0.0,0.0,0.5,2
49964411,10.047619047619047,24,1,260.0,43.80952380952381,62.04761904761905,269.0,0.009204917910030693,2.0476190476190474,10.0,8,0,0.0,0.38095238095238093,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0
49982456,7.222222222222222,18,1,15.0,5.333333333333333,22.11111111111111,54.0,0.009470197059674801,3.0,8.0,7,4,0.325,0.275,0.225,0.0,0.075,0.0,0.6666666666666666,2
50005296,6.785714285714286,24,0,21.0,3.7857142857142856,84.71428571428571,384.0,0.0009622215514587666,3.857142857142857,13.0,7,2,0.43333333333333335,0.3,0.43333333333333335,0.42857142857142855,0.1,0.0,0.6428571428571429,2
50046559,11.444444444444445,18,1,0.0,0.0,0.0,0.0,0.08579180473785242,0.0,0.0,1,1,0.05,0.5,0.3,0.2222222222222222,0.0,0.0,0.05555555555555555,1
50069007,35.214285714285715,48,14,27.0,7.285714285714286,12.785714285714286,56.0,0.01761800894023326,8.857142857142858,47.0,10,6,0.6296296296296297,0.5185185185185185,0.25925925925925924,0.2857142857142857,0.3333333333333333,0.5714285714285714,0.8571428571428571,4
50116013,18.5,43,10,1.0,0.16666666666666666,0.8333333333333334,3.0,0.02490738048349146,0.0,0.0,1,2,0.5833333333333334,0.05555555555555555,0.75,0.16666666666666666,0.0,0.0,0.0,0
50184013,7.055555555555555,24,1,32876.0,2750.777777777778,34431.77777777778,456332.0,0.0028039597519617203,288.6111111111111,1607.0,18,1,0.04,0.32,0.2,0.16666666666666666,0.44,0.5,0.2777777777777778,2
50184597,9.75,24,0,9.0,1.0,7.5,37.0,0.022796961592462753,3.1875,22.0,6,3,0.375,0.4375,0.0625,0.0,0.125,0.0,0.5625,3
50203526,8.0,14,2,0.0,0.0,1.0,2.0,0.0005720370607186553,0.6666666666666666,2.0,2,4,0.875,0.7083333333333334,0.375,0.3333333333333333,0.0,0.0,0.6666666666666666,1
50205828,12.1,42,0,0.0,0.0,0.15,1.0,0.002336203258088841,0.0,0.0,1,5,0.38095238095238093,0.5714285714285714,0.38095238095238093,0.35,0.0,0.0,0.05,1
50227161,16.0,30,2,12.0,3.0,7.5,48.0,0.0008215247948142514,1.1,4.0,4,3,0.25925925925925924,0.7407407407407407,0.07407407407407407,0.0,0.037037037037037035,0.0,4.5,13
50243043,20.294117647058822,43,5,14.0,2.1176470588235294,5.352941176470588,20.0,0.00426429615536799,0.7058823529411765,3.0,4,15,4.730769230769231,0.07692307692307693,0.5,0.058823529411764705,0.19230769230769232,0.29411764705882354,4.235294117647059,9
50272348,17.083333333333332,38,1,23.0,4.416666666666667,28.75,197.0,0.0024190419456049748,1.3333333333333333,4.0,4,6,0.7,0.4666666666666667,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.0,1.4166666666666667,4
50293800,27.8,49,9,2.0,0.7,2.5,6.0,0.0032823270135513218,0.1,1.0,2,4,1.4285714285714286,0.6190476190476191,1.0952380952380953,1.05,0.0,0.0,0.9,4
50294543,13.789473684210526,41,0,4.0,0.5789473684210527,9.0,49.0,0.0006186694569700707,0.8947368421052632,3.0,4,4,0.7272727272727273,0.5909090909090909,0.09090909090909091,0.10526315789473684,0.09090909090909091,0.10526315789473684,0.3684210526315789,1
